Variable,Country,Value
Long-term care beds,Japan,383911.0
Long-term care beds,Korea,259730.0
Long-term care beds,Latvia,1380.0
Long-term care beds,Lithuania,3147.0
Long-term care beds,Luxembourg,0.0
Long-term care beds,Netherlands,7954.0
Long-term care beds,New Zealand,132.0
Long-term care beds,Norway,0.0
Long-term care beds,Poland,15849.0
Long-term care beds,Slovak Republic,7051.0
Long-term care beds,Slovenia,302.0
Long-term care beds,Spain,29301.0
Long-term care beds,Sweden,3189.0
Long-term care beds,Switzerland,1794.0
Long-term care beds,United States,89329.0
Other hospital beds,Austria,0.0
Other hospital beds,Canada,622.0
Other hospital beds,Chile,4898.0
Other hospital beds,Czech Republic,3389.0
Other hospital beds,Denmark,0.0
Other hospital beds,Estonia,317.0
Other hospital beds,Finland,221.9
Other hospital beds,France,62818.0
Other hospital beds,Germany,0.0
Other hospital beds,Greece,10626.0
Other hospital beds,Hungary,0.0
Other hospital beds,Iceland,0.0
Other hospital beds,Ireland,397.0
Other hospital beds,Italy,0.0
Other hospital beds,Japan,358153.0
Other hospital beds,Korea,3742.0
Other hospital beds,Latvia,4407.0
Other hospital beds,Lithuania,0.0
Other hospital beds,Luxembourg,501.0
Other hospital beds,Netherlands,28232.0
Other hospital beds,Norway,2933.0
Other hospital beds,Poland,60089.0
Other hospital beds,Portugal,960.0
Other hospital beds,Slovak Republic,0.0
Other hospital beds,Slovenia,152.0
Other hospital beds,Spain,0.0
Other hospital beds,Sweden,1045.0
Other hospital beds,Switzerland,0.0
Other hospital beds,Turkey,0.0
Other hospital beds,United States,34633.0
Psychiatric care beds,Australia,10186.0
Psychiatric care beds,Austria,5352.0
Psychiatric care beds,Belgium,16231.0
Psychiatric care beds,Canada,13225.0
Psychiatric care beds,Chile,2979.0
Psychiatric care beds,Czech Republic,11693.0
Psychiatric care beds,Denmark,4044.0
Psychiatric care beds,Estonia,1083.0
Psychiatric care beds,Finland,5331.45
Psychiatric care beds,France,62818.0
Psychiatric care beds,Germany,106176.0
Psychiatric care beds,Greece,10626.0
Psychiatric care beds,Hungary,10368.0
Psychiatric care beds,Iceland,194.0
Psychiatric care beds,Ireland,5369.0
Psychiatric care beds,Israel,5619.0
Psychiatric care beds,Italy,8441.0
Psychiatric care beds,Japan,358153.0
Psychiatric care beds,Korea,67298.0
Psychiatric care beds,Latvia,4407.0
Psychiatric care beds,Lithuania,4470.0
Psychiatric care beds,Luxembourg,501.0
Psychiatric care beds,Mexico,5020.0
Psychiatric care beds,Netherlands,24793.0
Psychiatric care beds,New Zealand,1452.0
Psychiatric care beds,Norway,7168.0
Psychiatric care beds,Poland,27299.0
Psychiatric care beds,Portugal,7890.0
Psychiatric care beds,Slovak Republic,5060.0
Psychiatric care beds,Slovenia,1525.0
Psychiatric care beds,Spain,20891.0
Psychiatric care beds,Sweden,5565.0
Psychiatric care beds,Switzerland,8588.0
Psychiatric care beds,Turkey,4742.0
Psychiatric care beds,United Kingdom,54117.0
Psychiatric care beds,United States,87034.0
Rehabilitative care beds,Austria,11053.0
Rehabilitative care beds,Belgium,6331.0
Rehabilitative care beds,Canada,4643.0
Rehabilitative care beds,Czech Republic,4636.0
Rehabilitative care beds,Denmark,377.0
Rehabilitative care beds,Estonia,384.0
Rehabilitative care beds,Finland,713.68
Rehabilitative care beds,France,105725.0
Rehabilitative care beds,Germany,189822.0
Rehabilitative care beds,Greece,479.0
Rehabilitative care beds,Hungary,16011.0
Rehabilitative care beds,Iceland,85.0
Rehabilitative care beds,Ireland,179.0
Rehabilitative care beds,Israel,2394.0
Rehabilitative care beds,Italy,25131.0
Rehabilitative care beds,Korea,2548.0
Rehabilitative care beds,Latvia,871.0
Rehabilitative care beds,Lithuania,1717.0
Rehabilitative care beds,Luxembourg,529.0
Rehabilitative care beds,Netherlands,2022.0
Rehabilitative care beds,Poland,66655.0
Rehabilitative care beds,Portugal,588.0
Rehabilitative care beds,Slovak Republic,1071.0
Rehabilitative care beds,Slovenia,200.0
Rehabilitative care beds,Spain,1843.0
Rehabilitative care beds,Switzerland,7201.0
Rehabilitative care beds,Turkey,2943.0
Rehabilitative care beds,United States,16853.0
Total hospital beds,Australia,92826.0
Total hospital beds,Austria,65138.0
Total hospital beds,Belgium,68903.0
Total hospital beds,Brazil,490038.0
Total hospital beds,Canada,115829.0
Total hospital beds,Chile,41786.0
Total hospital beds,China (People's Republic of),6120500.0
Total hospital beds,Colombia,85021.0
Total hospital beds,Costa Rica,5880.0
Total hospital beds,Czech Republic,79985.0
Total hospital beds,Denmark,23040.0
Total hospital beds,Estonia,9828.0
Total hospital beds,Finland,39027.03
Total hospital beds,France,484279.0
Total hospital beds,Germany,749473.0
Total hospital beds,Greece,54704.0
Total hospital beds,Hungary,83271.0
Total hospital beds,Iceland,1283.0
Total hospital beds,India,784940.0
Total hospital beds,Indonesia,271902.0
Total hospital beds,Ireland,23334.0
Total hospital beds,Israel,26505.0
Total hospital beds,Italy,268057.0
Total hospital beds,Japan,1864008.0
Total hospital beds,Korea,631092.0
Total hospital beds,Latvia,20773.0
Total hospital beds,Lithuania,30912.0
Total hospital beds,Luxembourg,2929.0
Total hospital beds,Mexico,182007.0
Total hospital beds,Netherlands,78140.0
Total hospital beds,New Zealand,13010.0
Total hospital beds,Norway,24086.0
Total hospital beds,Poland,255168.0
Total hospital beds,Portugal,38165.0
Total hospital beds,Russia,1671601.0
Total hospital beds,Slovak Republic,42333.0
Total hospital beds,Slovenia,10745.0
Total hospital beds,South Africa,143755.0
Total hospital beds,Spain,148081.0
Total hospital beds,Sweden,31765.0
Total hospital beds,Switzerland,45170.0
Total hospital beds,Turkey,225863.0
Total hospital beds,United Kingdom,240144.0
Total hospital beds,United States,987440.0
