VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2008,2008,4.9,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2009,2009,4.8,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2010,2010,4.2,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2011,2011,4.6,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2012,2012,4.5,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2013,2013,3.6,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2014,2014,3.7,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2015,2015,3.2,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2016,2016,4.3,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2017,2017,4.6,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2005,2005,19,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2006,2006,17.6,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2007,2007,17.3,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2008,2008,16.3,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2009,2009,16.7,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2010,2010,15.6,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2011,2011,17.6,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2012,2012,18.1,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2013,2013,18,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2014,2014,21.6,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2015,2015,21.5,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2016,2016,21.9,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2017,2017,18.9,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2005,2005,6,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2006,2006,5.9,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2007,2007,5.2,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2008,2008,5.8,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2009,2009,5.7,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2010,2010,5.4,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2011,2011,5.4,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2012,2012,4.9,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2013,2013,4.6,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2014,2014,4.6,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2015,2015,4.5,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2016,2016,5.6,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2017,2017,5.7,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2005,2005,7,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2006,2006,6.9,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2007,2007,5.7,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2008,2008,6.7,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2009,2009,6.6,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2010,2010,6.6,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2011,2011,6.1,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2012,2012,5.3,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2013,2013,5.5,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2014,2014,5.5,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2015,2015,5.8,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2016,2016,7,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),SWE,Sweden,2017,2017,6.8,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2005,2005,10,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2006,2006,9.6,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2007,2007,8.9,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2008,2008,8.4,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2009,2009,9,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2010,2010,8.9,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2011,2011,8.8,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2012,2012,8.5,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2013,2013,8.7,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2014,2014,8.3,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2015,2015,7.8,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2016,2016,8.1,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),FRA,France,2017,2017,8.3,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2005,2005,6.1,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2006,2006,4.8,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2007,2007,4.6,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2008,2008,4.2,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2009,2009,4.4,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2010,2010,5.2,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2011,2011,6.4,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2012,2012,5,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2013,2013,5.8,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2014,2014,6.3,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2015,2015,5.7,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),ISL,Iceland,2016,2016,6.4,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2007,2007,3.3,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2008,2008,2.8,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2009,2009,3,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2010,2010,3.1,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2011,2011,3.2,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2012,2012,2.8,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2013,2013,3.3,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2014,2014,3.6,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2015,2015,3.7,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2016,2016,4.1,,
PRHSMBAH,"Bad/very bad health, males aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2017,2017,3.9,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2007,2007,4.1,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2008,2008,3.2,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2009,2009,3.4,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2010,2010,3.5,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2011,2011,3.6,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2012,2012,3.1,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2013,2013,3.7,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2014,2014,4.3,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2015,2015,4.1,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2016,2016,4.5,,
PRHSTBAH,"Bad/very bad health, total aged 15+",PERCALEF,% of population (crude rate),CHE,Switzerland,2017,2017,4.1,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2006,2006,23.7,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2007,2007,21.3,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2008,2008,22.1,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2009,2009,23.9,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2010,2010,22.7,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2011,2011,22.2,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2012,2012,21.7,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2013,2013,22.9,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2014,2014,22.5,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2015,2015,23.9,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2016,2016,23.9,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),TUR,Turkey,2017,2017,24.8,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2005,2005,16.9,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2006,2006,16.2,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2007,2007,15.4,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2008,2008,14.9,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2009,2009,14.9,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2010,2010,13.9,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2011,2011,16,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2012,2012,16,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2013,2013,17.8,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2014,2014,20.4,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2015,2015,21.7,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2016,2016,22.5,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),GBR,United Kingdom,2017,2017,17.3,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2005,2005,33.3,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2006,2006,32.1,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2007,2007,31.8,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2008,2008,26.9,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2009,2009,28,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2010,2010,29.9,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2011,2011,29.1,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2012,2012,28.3,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2013,2013,29.7,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2014,2014,28.2,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2015,2015,29,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2016,2016,28.5,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2017,2017,29.8,,
PRHSFFAH,"Fair (not good, not bad) health, females aged 15+",PERCALEF,% of population (crude rate),HUN,Hungary,2018,2018,29.2,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2007,2007,45,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2010,2010,43,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2013,2013,49.1,,
PRHSTFAH,"Fair (not good, not bad) health, total aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2016,2016,49.2,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2005,2005,73.7,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2006,2006,73.1,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2007,2007,74.1,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2008,2008,71.6,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2009,2009,72,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2010,2010,71.9,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2011,2011,70.8,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2012,2012,71.7,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2013,2013,70.5,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2014,2014,71.9,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2015,2015,71.8,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2016,2016,72,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2017,2017,72,,
PRHSMGHE,"Good/very good health, males aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2018,2018,73.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2005,2005,77,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2006,2006,74.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2007,2007,76.4,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2008,2008,76.6,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2009,2009,76.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2010,2010,76.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2011,2011,73.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2012,2012,78.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2013,2013,76,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2014,2014,78.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2015,2015,78.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2016,2016,77.1,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),NOR,Norway,2017,2017,77.4,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2007,2007,44.7,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2010,2010,42.8,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2013,2013,48.6,,
PRHSMFAH,"Fair (not good, not bad) health, males aged 15+",PERCALEF,% of population (crude rate),JPN,Japan,2016,2016,48.9,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2005,2005,71.9,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2006,2006,72.3,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2007,2007,72.8,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2008,2008,72.6,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2009,2009,71.6,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2010,2010,73.9,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2011,2011,70.1,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2012,2012,72.4,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2013,2013,69.8,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2014,2014,71,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2015,2015,68.5,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2016,2016,66.7,,
PRHSFGHE,"Good/very good health, females aged 15+",PERCALEF,% of population (crude rate),LUX,Luxembourg,2017,2017,69.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2005,2005,71.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2006,2006,72,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2007,2007,72.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2008,2008,70,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2009,2009,70,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2010,2010,69.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2011,2011,68.7,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2012,2012,70,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2013,2013,68.6,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2014,2014,69.5,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2015,2015,69.8,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2016,2016,70.2,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2017,2017,70.3,,
PRHSTGHE,"Good/very good health, total aged 15+",PERCALEF,% of population (crude rate),AUT,Austria,2018,2018,71.7,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),DEU,Germany,2005,2005,10,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),DEU,Germany,2006,2006,10,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),DEU,Germany,2007,2007,10.3,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),DEU,Germany,2008,2008,8.5,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),DEU,Germany,2009,2009,8.4,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),DEU,Germany,2010,2010,8.3,,
PRHSFBAH,"Bad/very bad health, females aged 15+",PERCALEF,% of population (crude rate),DEU,Germany,2011,2011,8.2,,
